feature_set,task,model,n_train,n_test,n_features,n_classes,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,mcc,roc_auc_macro_ovr,pr_auc_macro,log_loss,train_seconds,inference_seconds,inference_ms_per_sample
A5_CMG_GraphMemory,binary,ExtraTrees,600000,200000,84,2,0.997565,0.997282484898968,0.9978016814894708,0.997282484898968,0.9975362064055118,0.9975752178541476,0.997565,0.9975643647590504,0.9950840309400382,0.9982919817105568,0.9977840497672994,0.022180040260476108,23.006854100036435,0.6729316000128165,0.0033646580000640824
A6_Full_CAVALRY_AI,binary,HistGradientBoosting,600000,200000,93,2,0.99754,0.9972545294487734,0.9977792660484265,0.9972545294487734,0.9975108971685,0.9975504329867325,0.99754,0.9975393513564792,0.9950336571358099,0.999202818324904,0.9991850210158337,0.013477847974862968,16.231346299988218,0.5447105999919586,0.0027235529999597927
A6b_Full_CAVALRY_AI_SelectKBest_35,binary,RandomForest,600000,200000,35,2,0.99752,0.9972332342382015,0.9977601766893001,0.9972332342382015,0.9974906550689504,0.9975305142472523,0.99752,0.9975193433074427,0.9949932713947354,0.9984506737669837,0.9977371971642419,0.032459613810347634,25.078269399993587,0.2845801000366919,0.0014229005001834593
A3_AllNumeric_NoCMG_NoRWAR,binary,HistGradientBoosting,600000,200000,78,2,0.997475,0.997191467624522,0.9977105691868267,0.997191467624522,0.9974451421658799,0.9974851698345656,0.997475,0.9974743412799187,0.9949019013877388,0.9991983756200427,0.9991974006086037,0.013749845000383473,14.252922300016508,0.5282080000033602,0.002641040000016801
A4_RWAR_RiskRouting,binary,HistGradientBoosting,600000,200000,87,2,0.997475,0.9971882601757706,0.9977140408517466,0.9971882601757706,0.9974451253959119,0.9974854438472542,0.997475,0.9974743328046528,0.99490216209662,0.9991951005151172,0.9991808498352751,0.013760713264373984,16.04961149999872,0.5691074000205845,0.002845537000102922
A2_Core_PortProtocol_Temporal,binary,HistGradientBoosting,600000,200000,36,2,0.99433,0.9941140924689975,0.9944183742129671,0.9941140924689975,0.9942641583911835,0.994332311926721,0.99433,0.9943291273559406,0.9885324198512407,0.9988153170826394,0.998773889595379,0.02397380280598126,5.178358200006187,0.23858239996479824,0.0011929119998239912
A1_Core_PortProtocol,binary,RandomForest,600000,200000,14,2,0.994125,0.993866682234477,0.9942525368747193,0.993866682234477,0.9940562938763187,0.9941291886138528,0.994125,0.9941238529275729,0.9881191437722298,0.9979592306961718,0.9972506257895264,0.03952323841199514,10.884099499962758,0.17463930003577843,0.0008731965001788921
A0_CoreFlow,binary,HistGradientBoosting,600000,200000,12,2,0.968075,0.9672292908116333,0.968176239096272,0.9672292908116333,0.9676821387453332,0.9680829992909069,0.968075,0.9680588408617304,0.9354050505910451,0.9955124794464588,0.9957936527579958,0.0778112751464825,4.959181100013666,0.19941810000455007,0.0009970905000227502
A7_TCPFlagsOnly,binary,RandomForest,600000,200000,12,2,0.716885,0.7233890733666561,0.7221691574283462,0.7233890733666561,0.7168216665922973,0.7295381209334874,0.716885,0.7172693836008117,0.4455565607577515,0.7881134505035303,0.8171893989575953,0.5186039346528313,9.590832100016996,0.1761703999945894,0.000880851999972947
