task,mail_setting,active_agents,removed_agent,feature_description,model,feature_count,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,mcc,roc_auc_macro_ovr,pr_auc_macro,log_loss,train_seconds,inference_seconds,inference_ms_per_sample
binary,MAIL_Full,"SA, HA, OA, SPA, GMA, RA, FA, SHA",None,"Full CAVALRY-AI representation with flow, port, protocol, timing, TCP flags, RWAR, and CMG features",HistGradientBoostingClassifier,94,0.998977699586325,0.9989845213523489,0.9989725095570485,0.9989845213523489,0.9989776565195563,0.9989794295960838,0.998977699586325,0.9989777057387206,0.9979570308371081,0.999976289833134,0.9999745911119089,0.003501900358237344,7.15492340000128,0.11957660000189207,0.00284286529413466
binary,MAIL_without_SA,"HA, OA, SPA, GMA, RA, FA, SHA",SA,Full CAVALRY-AI representation with the SA feature contribution removed,HistGradientBoostingClassifier,85,0.999025248442775,0.9990310146686379,0.9990206264593777,0.9990310146686379,0.9990252055542002,0.9990264884871011,0.999025248442775,0.9990252535156171,0.9980516410739528,0.9999762276551348,0.9999747175003579,0.0035174583617063417,4.793767700000899,0.13418450000244775,0.0031901597642158656
binary,MAIL_without_HA,"SA, OA, SPA, GMA, RA, FA, SHA",HA,Full CAVALRY-AI representation with the HA feature contribution removed,HistGradientBoostingClassifier,82,0.999049022871,0.9990553194832782,0.9990441082196562,0.9990553194832782,0.9990489819235276,0.9990504972664033,0.999049022871,0.9990490282119746,0.9980994276399684,0.9999787260801943,0.9999774037655391,0.003408323843172635,4.8261208000003535,0.11162939999849186,0.0026539251580640928
binary,MAIL_without_OA,"SA, HA, SPA, GMA, RA, FA, SHA",OA,Full CAVALRY-AI representation with the OA feature contribution removed,HistGradientBoostingClassifier,91,0.99900147401455,0.9990077680104934,0.9989965578151139,0.9990077680104934,0.999001431019704,0.9990029488743808,0.99900147401455,0.9990014796225735,0.9980043257626472,0.9999782591799455,0.9999773626101975,0.003648339373138003,5.145578200001182,0.11598589999994147,0.0027574984546607736
binary,MAIL_without_SPA,"SA, HA, OA, GMA, RA, FA, SHA",SPA,Full CAVALRY-AI representation with the SPA feature contribution removed,HistGradientBoostingClassifier,82,0.9990727972992249,0.9990789188602547,0.9990679790051884,0.9990789188602547,0.9990727570856,0.9990741910206405,0.9990727972992249,0.9990728023803689,0.9981468978054917,0.9999780647323845,0.999976991017886,0.0035361884218810076,4.86922290000075,0.10689860000275075,0.00254145309311851
binary,MAIL_without_GMA,"SA, HA, OA, SPA, RA, FA, SHA",GMA,Full CAVALRY-AI representation with the GMA feature contribution removed,HistGradientBoostingClassifier,88,0.9990727972992249,0.9990789188602547,0.9990679790051884,0.9990789188602547,0.9990727570856,0.9990741910206405,0.9990727972992249,0.9990728023803689,0.9981468978054917,0.9999731198856829,0.9999708862715693,0.003587445982097486,5.20263100000011,0.12360640000042622,0.0029386714849609203
binary,MAIL_without_RA,"SA, HA, OA, SPA, GMA, FA, SHA",RA,Full CAVALRY-AI representation with the RA feature contribution removed,HistGradientBoostingClassifier,85,0.999025248442775,0.9990310146686379,0.9990206264593777,0.9990310146686379,0.9990252055542002,0.9990264884871011,0.999025248442775,0.9990252535156171,0.9980516410739528,0.9999762276551348,0.9999747175003579,0.0035174583617063417,4.698225600001024,0.10556139999971492,0.002509661927623863
binary,MAIL_without_FA,"SA, HA, OA, SPA, GMA, RA, SHA",FA,Full CAVALRY-AI representation with the FA feature contribution removed,HistGradientBoostingClassifier,72,0.999049022871,0.9990553194832782,0.9990441082196562,0.9990553194832782,0.9990489819235276,0.9990504972664033,0.999049022871,0.9990490282119746,0.9980994276399684,0.9999651475356738,0.9999617818755953,0.004352686934110327,4.140220299999783,0.0956783000001451,0.0022746968760435807
binary,MAIL_without_SHA,"SA, HA, OA, SPA, GMA, RA, FA",SHA,Shield Agent removed. Detection feature space remains unchanged because SHA produces response recommendations after classification.,HistGradientBoostingClassifier,94,0.998977699586325,0.9989845213523489,0.9989725095570485,0.9989845213523489,0.9989776565195563,0.9989794295960838,0.998977699586325,0.9989777057387206,0.9979570308371081,0.999976289833134,0.9999745911119089,0.003501900358237344,5.373400599997694,0.11760560000038822,0.0027960058960674297
binary,MAIL_Low_Risk_Route,"SA, HA, OA","SPA, GMA, RA, FA, SHA","Lightweight route using RWAR risk indicators, core flow behavior, port, and protocol evidence",HistGradientBoostingClassifier,24,0.9967904521896248,0.9967985644795745,0.9967845745385595,0.9967985644795745,0.9967903247885777,0.9967929865896256,0.9967904521896248,0.9967904747852823,0.9935831389196427,0.9998524414332708,0.9998387763560601,0.011510198607197746,3.133645100002468,0.07688530000086757,0.00182790404642831
binary,MAIL_Medium_Risk_Route,"SA, HA, OA, GMA, RA","SPA, FA, SHA","Medium route using risk indicators, core flow behavior, port and protocol evidence, CMG graph context, and RWAR support",HistGradientBoostingClassifier,30,0.9969806476154248,0.9969901812460416,0.9969742982001333,0.9969901812460416,0.9969805348914162,0.9969841052178114,0.9969806476154248,0.99698067173924,0.9939644793192733,0.9998686133656133,0.9998586648231511,0.011192525172749738,3.1254514000029303,0.07771409999986645,0.0018476082925173898
